Rank,username,Youtube_Url,Name,Category,Amount_Subscribers,Country,Avg_Views,Avg_Likes,Avg_Comments
363,IDEAS EN 5 MINUTOS,http://youtube.com/channel/UC_OLtzRJdg0MJfiqGWAAIHw,IDEAS EN 5 MINUTOS,,16400000,Mexico,32900,369,9
364,Junya Official Channel,http://youtube.com/channel/UCjp_3PEaOau_nT_3vnqKIvg,Junya Official Channel,,16400000,Japan,399000,2300,37
365,monstafluffmusicTV,http://youtube.com/channel/UCNqFDjYTexJDET3rPDrmJKg,7clouds,Music & Dance,16300000,United States,131500,2400,142
366,zbingzbing,http://youtube.com/channel/UC5zGJZpxeZPFcds5gFcDE7Q,zbing z.,AnimationVideo games,16300000,Thailand,608100,18700,741
367,DUDU e CAROL,http://youtube.com/channel/UC371icpvZj2oQaocL0i9L-g,DUDU e CAROL,,16300000,Brazil,1400000,153500,3200
368,ppextras,http://youtube.com/channel/UCY8LnVxm0Hf7DKPKuLPxb2g,ExtraPolinesios,Daily vlogs,16300000,Mexico,54200,4300,59
369,SonyMusicSouthVEVO,http://youtube.com/channel/UCTNtRdBAiZtHP9w7JinzfUg,SonyMusicSouthVEVO,Music & Dance,16300000,,714900,17200,225
370,Antrax,http://youtube.com/channel/UCNbwP-bKUlKrE_5qDwvFILQ,Antrax,Video games,16100000,Mexico,1600000,95200,5700
371,tanboy kun,http://youtube.com/channel/UC8rHUssNDJ9YEjfduAqJBmw,tanboy kun,Music & Dance,16100000,Indonesia,1700000,57500,2300
372,Prajapati News,http://youtube.com/channel/UCl_Ksy6Yi1b4eEZ46FInb_w,Prajapati News,,16100000,India,30100,1500,66
373,Sandra Cires Art,http://youtube.com/channel/UCYM02HkL0C3V1hAzw0HUXUw,Sandra Cires Art,,16100000,Colombia,1100000,69700,4100
374,queenofficial,http://youtube.com/channel/UCiMhD4jzUqG-IgPzUmmytRQ,Queen Official,Music & DanceMovies,16100000,United States,167100,9200,345
375,Dhar Mann,http://youtube.com/channel/UC_hK9fOxyy_TM8FJGXIyG8Q,Dhar Mann,Health & Self Help,16100000,United States,5900000,121400,6700
376,SOMOY TV,http://youtube.com/channel/UCxHoBXkY88Tb8z1Ssj6CWsQ,SOMOY TV,Daily vlogs,16100000,Bangladesh,7700,163,10
377,Goldmines Great Indian Comedy,http://youtube.com/channel/UC76Yc75RGWonijH02CIhPaw,Goldmines Great Indian Comedy,,16100000,India,11200,113,6
378,lescopaque,http://youtube.com/channel/UCR1c65UsjpaVgcLKa7eM1tg,Les' Copaque Production,,16100000,Indonesia,27900,400,48
379,MatthewPatrick13,http://youtube.com/channel/UCo_IB5145EVNcf8hw1Kku7w,The Game Theorists,Science & Technology,16000000,United States,1900000,113100,6600
380,Camila Cabello,http://youtube.com/channel/UCio_FVgKVgqcHrRiXDpnqbw,Camila Cabello,Music & DanceMovies,15900000,United States,323800,19700,749
381,TRANSTVofficial,http://youtube.com/channel/UCIohHXwCEKxWCLvAguJ-GjA,TRANS TV Official,Music & Dance,15900000,Indonesia,970,13,1
382,Sourav Joshi Vlogs,http://youtube.com/channel/UCjvgGbPPn-FgYeguc5nxG4A,Sourav Joshi Vlogs,Daily vlogs,15900000,India,5600000,524100,14700
383,Blippi - Educational Videos for Kids,http://youtube.com/channel/UC5PYHgAzJ1wLEidB58SK6Xw,Blippi - Educational Videos for Kids,EducationToys,15900000,,1600000,5100,
384,DopeLyrics,http://youtube.com/channel/UCvR2R7j218tzejtTsb_X6Rw,DopeLyrics,Music & Dance,15900000,United States,12400,408,49
385,boyceavenue,http://youtube.com/channel/UCgc00bfF_PvO_2AvqJZHXFg,Boyce Avenue,Music & Dance,15900000,Brazil,209900,5900,181
386,failarmy,http://youtube.com/channel/UCPDis9pjXuqyI7RYLJ-TTSA,FailArmy,AnimationHumor,15900000,United States,2100000,19600,592
387,Aayu and Pihu Show,http://youtube.com/channel/UCFcBAGR0drI3F15EhMFjuTg,Aayu and Pihu Show,MoviesHumor,15900000,India,3800000,91500,2300
388,Apple,http://youtube.com/channel/UCE_M8A5yxnLfW0KghEeajjw,Apple,Music & DanceAnimation,15900000,,2500000,20100,
389,marquesbrownlee,http://youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,Science & Technology,15900000,United States,2000000,93700,5400
390,vice,http://youtube.com/channel/UCn8zNIfYAQNdrFRrr8oibKw,VICE,News & Politics,15900000,United States,409700,7800,1400
391,El Reino a Jugar,http://youtube.com/channel/UCsm77kEHBDEPgD4Ir3jSRYg,El Reino a Jugar,EducationToys,15900000,,509800,1700,
392,Kaykai Salaider,http://youtube.com/channel/UCdLGCJcIGu5ExzYN6CXtkIw,Kaykai Salaider,MoviesHumor,15900000,Thailand,1000000,62100,1800
393,Kids Play,http://youtube.com/channel/UClyPv5RRfYdUFv2SsgV5uMw,Kids Play,,15900000,,57700,442,
394,Sony AATH,http://youtube.com/channel/UCBz9qbqujcjIavFmBJW2oZw,Sony AATH,,15700000,Bangladesh,93900,1200,52
395,rkddigital,http://youtube.com/channel/UCjBwQ6M9QyCgO5Pp-TQRFUA,RKD Studios,,15700000,India,62300,914,32
396,movieclipsTRAILERS,http://youtube.com/channel/UCi8e0iOVk1fEOogdfu4YgfA,Movieclips Trailers,MoviesAnimation,15700000,United States,61200,1000,82
397,JenniferLopez,http://youtube.com/channel/UCr8RjWUQ_9KYcIPmWiqBroQ,Jennifer Lopez,Music & DanceMovies,15700000,,304000,11100,855
398,MegatoadStonie,http://youtube.com/channel/UCd1fLoVFooPeWqCEYVUJZqg,Matt Stonie,Food & Drinks,15700000,United States,2100000,122500,1200
399,Zappy Toons - Hindi Nursery Rhymes and Stories,http://youtube.com/channel/UCcryiZdagSR9M-Oii_Y4OfQ,Zappy Toons - Hindi Nursery Rhymes and Stories,Education,15700000,,131100,707,
400,PitbullMusic,http://youtube.com/channel/UCv8nzwVPQDRjkPCkEsOdEwA,Pitbull,Music & Dance,15700000,United States,82900,4100,285
401,Ivana Alawi,http://youtube.com/channel/UCypeLkg3Ne5-LIyiB41b1GQ,Ivana Alawi,Daily vlogs,15700000,Philippines,4300000,203800,6600
402,indiancomedy,http://youtube.com/channel/UC0PKLLmL8pIJLjOI1gBH_pA,Shemaroo Comedy,,15700000,India,72600,781,22
403,AMARINTV : อมรินทร์ทีวี,http://youtube.com/channel/UCzMoibQRslh_1bTuW0YXc6A,AMARINTV : อมรินทร์ทีวี,News & Politics,15700000,Thailand,9300,118,11
404,Jason Vlogs,http://youtube.com/channel/UCjmAh2qxmvWdH3xNPbg0IUQ,Jason Vlogs,AnimationToys,15700000,,484300,1300,
405,Sidemen,http://youtube.com/channel/UCDogdKl7t7NHzQ95aEwkdMw,Sidemen,Video gamesHumor,15600000,United Kingdom,7900000,366100,11000000
406,Katie Angel,http://youtube.com/channel/UCgSMDG8aGE3YHfBCXHuPpYA,Katie Angel,,15600000,Mexico,708600,65300,201
407,Dyland PROS,http://youtube.com/channel/UCXdmo_q4SawYMz-dmeKEHPQ,Dyland PROS,MoviesAnimation,15500000,Indonesia,65300,4100,265
408,popchartbusters,http://youtube.com/channel/UCzL6rJhkoXkIt0fCv9T9_uA,Pop Chartbusters,Music & Dance,15500000,India,11900,422,73
409,RomanAtwoodVlogs,http://youtube.com/channel/UC-SV8-bUJfXjrRMnp7F8Wzw,Roman Atwood Vlogs,MoviesHumor,15500000,United States,384900,19100,1100
410,AdMe,http://youtube.com/channel/UCuVpbMt4yu4I9eAey3khnGg,AdMe,Animation,15500000,Russia,32700,1200,62
411,Fede Vigevani,http://youtube.com/channel/UCoQm-PeHC-cbJclKJYJ8LzA,Fede Vigevani,,15500000,Mexico,3600000,258500,13800
412,KSIOlajidebtHD,http://youtube.com/channel/UCGmnsW623G1r-Chmo5RB4Yw,JJ Olatunji,,15500000,United States,5400000,401100,12600
413,OGatoGalactico,http://youtube.com/channel/UCbt4SegZBQLeXMTMvnrfZtw,Gato Galactico | GALÁXIA,Animation,15400000,Brazil,90800,4000,98
414,Sidhu Moose Wala,http://youtube.com/channel/UC9ChdqQRCaZmTCwSJ49tcbw,Sidhu Moose Wala,Music & Dance,15400000,India,33800000,3500000,1700000
415,portalfitdance,http://youtube.com/channel/UCl_AQeO6ynSDRSjclc1e16Q,FitDance,Music & Dance,15300000,,30800,993,13
416,wifistudy,http://youtube.com/channel/UCuWuAvEnKWez5BUr29VpwqA,wifistudy,Education,15300000,India,7700,533,11
417,Oyuncak Avı,http://youtube.com/channel/UCjS0hMS5sneIgsb3PjBc0Bw,Oyuncak Avı,,15300000,,55200,,
418,Dushyant kukreja,http://youtube.com/channel/UCo6y9hnRawAqtyWhRhblXqg,Dushyant kukreja,,15300000,India,6500000,426500,1200
419,RCTI - LAYAR DRAMA INDONESIA,http://youtube.com/channel/UCzTsWuCdVP_vehWyGwPcS3Q,RCTI - LAYAR DRAMA INDONESIA,Music & DanceMovies,15300000,Indonesia,24700,394,24
420,CamiloMusicaVideo,http://youtube.com/channel/UCw0aKHSGFGyrnMeVnHeYMyw,Camilo,Music & Dance,15300000,Colombia,161700,9000,126
421,News24page,http://youtube.com/channel/UCuzS3rPQAYqHcLWqOFuY0pw,News24,News & Politics,15300000,India,6900,106,9
422,Kerajinan 5-Menit,http://youtube.com/channel/UClIYfCAhMAlacxT0e_sl1uA,Kerajinan 5-Menit,Music & Dance,15100000,Indonesia,21800,212,10
423,TheRichest,http://youtube.com/channel/UCdxi8d8qRsRyUi2ERYjYb-w,TheRichest,News & Politics,15100000,United States,21300,813,89
424,LOKESH GAMER,http://youtube.com/channel/UCdQPeeJ0qGK6wWBiEJWcdsQ,LOKESH GAMER,,15100000,India,510200,53500,2500
425,SAM SMITH,http://youtube.com/channel/UCvpDeGlR5wLP9Z3Tb6K0Xfg,SAM SMITH,,15100000,United States,24500,2800,84
426,SriBalajiMovies,http://youtube.com/channel/UCoy3dQzEdq1y2zMnT4pdj3Q,SriBalajiMovies,,15100000,India,8100,74,2
427,With Kids[위드키즈],http://youtube.com/channel/UC6ye474SJCiPsEPueO_b3Gw,With Kids[위드키즈],,15100000,United States,172400,,
428,T3DDYgames,http://youtube.com/channel/UC5mZsx_OVnc4XmG9rWU2p3A,T3ddy,Daily vlogs,15100000,Brazil,854500,92500,2600
429,حِرف إبداعية في 5 دقائق,http://youtube.com/channel/UCy7QvWo7uV_AcoLJL5RIwkQ,حِرف إبداعية في 5 دقائق,,15100000,Egypt,37800,483,24
430,Smile Family Spanish,http://youtube.com/channel/UCau6-7svf1fw2QCUJDj68eQ,Smile Family Spanish,Animation,15100000,,431900,3000,
431,ntvru,http://youtube.com/channel/UCsA_vkmuyIRlYYXeJueyIJQ,НТВ,News & Politics,15000000,Russia,82300,901,216
432,makeuplocalypse,http://youtube.com/channel/UCSyoRFkB5xkaa3ScUcBaETw,Mariale,,15000000,Mexico,226000,10700,293
433,ranziscool,http://youtube.com/channel/UCdAt_KUKt0g9ZRQ7gwKaN3A,Ranz Kyle,Humor,14900000,Philippines,647500,25700,706
434,TalkingFriends,http://youtube.com/channel/UCDCNmuaOXOo25Yn4mbMHhhQ,Talking Tom & Friends,AnimationHumor,14900000,United States,386500,3100,
435,5-Minute Crafts FAMILY,http://youtube.com/channel/UC63mNFJR8EAb8wAIJwoCmTA,5-Minute Crafts FAMILY,,14900000,United States,21700,232,9
436,popskids,http://youtube.com/channel/UC5ezaYrzZpyItPSRG27MLpg,POPS Kids,Animation,14900000,Indonesia,2300,15,
437,Makiman131,http://youtube.com/channel/UCevY-z55kr37ZAXG15F-KiA,Makiman131,MoviesAnimation,14900000,Spain,330900,21400,576
438,Like Nastya IDN,http://youtube.com/channel/UCui_SuV6CzSgB1bdwL5utzg,Like Nastya IDN,Music & DanceMovies,14900000,,111200,,
439,kwebbelkop,http://youtube.com/channel/UCfLuMSIDmeWRYpuCQL0OJ6A,Kwebbelkop,AnimationVideo games,14900000,United States,99800,2600,145
440,bbtvch7,http://youtube.com/channel/UCXUVnTEsLZBim_WlWxBvEwA,Ch7HD,,14900000,Thailand,10600,181,2
441,newvolgavideo,http://youtube.com/channel/UCIeNlITYK46VkR7yIuTL8GQ,Volga Video,,14900000,India,3900,33,2
442,hejproducao,http://youtube.com/channel/UCfLTxnQboSLcoSakgONmukQ,Henrique e Juliano,Music & Dance,14900000,Brazil,60800,2700,37
443,RiotGamesInc,http://youtube.com/channel/UC2t5bjwHdUX4vM2g8TRDq5g,League of Legends,MoviesAnimation,14900000,United States,539100,24600,1100
444,Super Senya,http://youtube.com/channel/UCjx0-lAtcB7pTxT6MaGPs9g,Super Senya,AnimationToys,14900000,,13800,104,
445,LEGO,http://youtube.com/channel/UCP-Ng5SXUEt0VE-TXqRdL6g,LEGO,Animation,14900000,United States,25900,433,
446,Dave and Ava - Nursery Rhymes and Baby Songs,http://youtube.com/channel/UC6zhI71atP7YLoZyIyCIGNw,Dave and Ava - Nursery Rhymes and Baby Songs,Education,14900000,,269000,1100,
447,Lachlan,http://youtube.com/channel/UCh7EqOZt7EvO2osuKbIlpGg,Lachlan,Video games,14900000,United States,667300,27900,1100
448,La Rosa de Guadalupe,http://youtube.com/channel/UCGs30k8MveMERD3askAgNYA,La Rosa de Guadalupe,,14700000,Mexico,17700,446,10
449,Niana Guerrero,http://youtube.com/channel/UCLysbxhOO_JPOPgcsPCMb8w,Niana Guerrero,Music & DanceHumor,14700000,Philippines,478200,18900,547
450,IDEIAS INCRÍVEIS,http://youtube.com/channel/UCcQeJmGXpa_t03Zjrl8Aq4g,IDEIAS INCRÍVEIS,,14700000,Brazil,14800,303,6
451,zncoficial,http://youtube.com/channel/UCRRu9OXVYd5clj2Bs29gUVQ,Zé Neto e Cristiano,,14700000,Brazil,0,,
452,laharimusic,http://youtube.com/channel/UCnSqxrSfo1sK4WZ7nBpYW1Q,Lahari Music | T-Series,Music & Dance,14700000,India,11400,301,8
453,Like Nastya VNM,http://youtube.com/channel/UClK8w-hLJlhR6fL5_xQg_VA,Like Nastya VNM,,14700000,,484600,,
454,LinusTechTips,http://youtube.com/channel/UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,Science & Technology,14700000,United States,1400000,60800,3100
455,iTownGamePlay,http://youtube.com/channel/UCKmlxQVs0vHtaLldRIQ8lsA,iTownGamePlay *Terror&Diversión*,News & Politics,14700000,Mexico,342200,11800,538
456,GMMTVSPOTLIKE,http://youtube.com/channel/UC8BzJM6_VbZTdiNLD4R1jxQ,GMMTV OFFICIAL​​,Music & DanceMovies,14700000,Thailand,26300,631,19
457,majorlazer,http://youtube.com/channel/UCMJ5Qf3sOvQpcYiai1Noa3Q,Major Lazer Official,Music & DanceMovies,14700000,United States,0,,
458,mkmusicnews,http://youtube.com/channel/UCbVwJCxsVbmaP1PFmbGQDeQ,MK MUSIC,Music & Dance,14700000,Brazil,27000,1300,79
459,LEGENDA FUNK,http://youtube.com/channel/UCgO5cJ4sL1um054gGYusjiA,LEGENDA FUNK,Music & DanceAnimation,14700000,Brazil,7000,371,11
460,Planeta das Gêmeas,http://youtube.com/channel/UCqqGXzmJn6biINRt5OILmRQ,Planeta das Gêmeas,Toys,14700000,,415300,20600,29
461,Alejo Igoa,http://youtube.com/channel/UCZs0WwC0Dn_noiQE2BHSTKg,Alejo Igoa,DIY & Life Hacks,14600000,Argentina,7500000,173500,9200
462,XpressTV,http://youtube.com/channel/UC0YFjwJc3b1otDerdv6CfWA,XpressTV,Science & Technology,14500000,Mexico,1900000,50200,725
463,حقائق وأسرار,http://youtube.com/channel/UCBzrJ1zGf9-0cd5-n7sBraQ,حقائق وأسرار,,14500000,Egypt,35000,1300,90
464,Daftar Populer,http://youtube.com/channel/UCQW2tTNJ40V2T6MqV1eMZ0w,Daftar Populer,News & Politics,14500000,Indonesia,96600,2300,221
465,ndtvindia,http://youtube.com/channel/UC9CYT9gSNLevX5ey2_6CK0Q,NDTV India,News & Politics,14500000,India,18700,477,58
466,FueledByRamen,http://youtube.com/channel/UClVrJwcIy7saPcGc1nct80A,Fueled By Ramen,,14500000,United States,575500,17800,562
467,Bizarrap,http://youtube.com/channel/UCmS75G-98QihSusY7NfCZtw,Bizarrap,Music & DanceMovies,14500000,Argentina,0,,
468,Maha Fun Tv,http://youtube.com/channel/UCJYi5GZRNoW1nJGU_Y1JbGA,Maha Fun Tv,,14500000,India,0,,
469,MattyBRaps,http://youtube.com/channel/UCmdY1pHB-KbFYxOyhwjVeQw,MattyBRaps,Music & DanceMovies,14500000,United States,1600000,7800,
470,jemproducoes,http://youtube.com/channel/UCL64gn1KZ1C-u87BGQv3b6w,Jorge & Mateus Oficial,Music & Dance,14500000,Brazil,32900,3600,79
471,Drawblogs,http://youtube.com/channel/UCkuPobJMx7DPUdwlVo1TFfA,Drawblogs,MoviesAnimation,14500000,Mexico,160600,3900,141
472,collegehumor,http://youtube.com/channel/UCPDXXXJj9nax0fr0Wfc048g,CollegeHumor,MoviesHumor,14500000,United States,628700,35100,1100
473,Canal Nostalgia,http://youtube.com/channel/UCH2VZQBLFTOp6I_qgnBJCuQ,Canal Nostalgia,Science & Technology,14500000,,358500,98500,875
474,MonsieurDream,http://youtube.com/channel/UCyWqModMQlbIo8274Wh_ZsQ,Cyprien,MoviesAnimation,14500000,France,2300000,215000,11200
475,chadwildclay,http://youtube.com/channel/UCwaNuezahYT3BOjfXsne2mg,Chad Wild Clay,MoviesHumor,14500000,United States,2100000,40700,6300
476,theslowmoguys,http://youtube.com/channel/UCUK0HBIBWgM2c4vsPhkYY4w,The Slow Mo Guys,,14500000,United States,1200000,62200,2700
477,Mobile Legends: Bang Bang Official,http://youtube.com/channel/UCqmld-BIYME2i_ooRTo1EOg,Mobile Legends: Bang Bang Official,MoviesAnimation,14500000,Indonesia,177100,2500,26
478,Super Polina,http://youtube.com/channel/UCE76CBkDX591pxzps6bySOw,Super Polina,,14500000,Russia,9100,74,
479,bbchindi,http://youtube.com/channel/UCN7B-QD0Qgn2boVH5Q0pOWg,BBC News Hindi,News & Politics,14400000,India,162200,,345
480,Johny FamilyShow,http://youtube.com/channel/UCq8KR1lnewd5ZPx9_XKoubg,Johny FamilyShow,Music & DanceToys,14300000,,78200,341,
481,Arif muhammad,http://youtube.com/channel/UCfx3oPv3cJm2aCJ7UnhKx8A,Arif muhammad,Music & DanceMovies,14300000,Indonesia,2900000,83900,2700
482,thairathonline,http://youtube.com/channel/UCrFDdD-EE05N7gjwZho2wqw,Thairath Online,News & Politics,14300000,Thailand,17100,219,23
483,News18 India,http://youtube.com/channel/UCPP3etACgdUWvizcES1dJ8Q,News18 India,News & Politics,14300000,India,6000,82,5
484,MartinGarrix,http://youtube.com/channel/UC5H_KXkPbEsGs0tFt8R35mA,Martin Garrix,Music & Dance,14300000,United States,46400,1800,97
485,alanalan9635,http://youtube.com/channel/UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,Video gamesHumor,14300000,United States,13700000,567400,29500
486,BollywoodClassics,http://youtube.com/channel/UCZ_OLiS7DkyCg89eV_qQMoQ,Bollywood Classics,Music & Dance,14300000,India,10800,182,8
487,And TV,http://youtube.com/channel/UCxJcrDUc8awRSLzLbnIiAmQ,And TV,,14300000,India,895,21,
488,TeamFilmsBhojpuri,http://youtube.com/channel/UCB4SvelHl4qjFSNYfxhp-SQ,Team Films Bhojpuri,Music & DanceMovies,14300000,India,21200,476,55
489,elcanaldePlimPlim,http://youtube.com/channel/UCYQo8CdhXD22qfwUBUw591Q,Plim Plim - Kids Songs & Episodes - Spanish ,Music & Dance,14300000,,399900,3700,
490,MrBeast Shorts,http://youtube.com/channel/UC4-79UOlP48-QNGgCko5p2g,MrBeast Shorts,Daily vlogs,14300000,United States,11400000,836500,3800
491,Genierock,http://youtube.com/channel/UCs2t9DlvAuyTBkvk2djGZKw,Genierock,Music & Dance,14300000,Thailand,51200,918,57
492,PlayStation,http://youtube.com/channel/UC-2Y8dQb0S6DtpxNgAKoJKA,PlayStation,,14300000,United States,35400,1100,82
493,Gyan Gamingㅤ,http://youtube.com/channel/UChXi_PlJkRMPYFQBOJ3MpxA,Gyan Gamingㅤ,,14300000,India,390300,42400,840
494,OfficialTrapCity,http://youtube.com/channel/UC65afEgL62PGFWXY7n6CUbA,Trap City,Music & Dance,14300000,United States,31700,1700,72
495,narendramodionline,http://youtube.com/channel/UCvxi7_X1VSaMr_osIamYNaw,NMF News,News & Politics,14300000,India,14800,325,34
496,Technoblade,http://youtube.com/channel/UCFAiFyGs6oDiF1Nf-rRJpZA,Technoblade,Video games,14200000,United States,67500000,7600000,1300000
497,Zach King,http://youtube.com/channel/UCq8DICunczvLuJJq414110A,Zach King,MoviesHumor,14100000,United States,475900,29000,849
498,MRamadanOfficial,http://youtube.com/channel/UCJCj2HtcnbOyCj1rmKaxwJg,Mohamed Ramadan I محمد رمضان,,14100000,Egypt,18900000,130700,9300
499,Dangal TV Channel,http://youtube.com/channel/UCNzmmbXIbMzlqE8nD1PBXfg,Dangal TV Channel,,14100000,India,43200,354,5
500,TWICE,http://youtube.com/channel/UCzgxx_DM2Dcb9Y1spb9mUJA,TWICE,Music & DanceMovies,14100000,Philippines,1200000,95500,819
501,#Refugio Mental,http://youtube.com/channel/UCgQRN9EO5ksPZjs7EasIftQ,#Refugio Mental,Movies,14100000,Argentina,527600,5700,83
502,inventonahoratv,http://youtube.com/channel/UCR3vcUrhFUdzagng58ueI2w,Invento na Hora,AnimationHumor,14100000,Brazil,1100000,134300,1900
503,camilaloures,http://youtube.com/channel/UCvuJTWl_peL49CUfF2EAbyg,Camila Loures,MoviesHumor,14100000,Brazil,304900,24800,417
504,Wow Kidz Action,http://youtube.com/channel/UCCyKsYaRi62axS-kasXW7wA,Wow Kidz Action,,14100000,,117500,1200,
505,pognalishow,http://youtube.com/channel/UCwipTluVS2mjuhPtx2WU7eQ,Дима Масленников,Video games,14100000,Russia,4500000,402000,13100
506,CH8vdo,http://youtube.com/channel/UCtBu8Wb2BUoduUXJS9Uss7Q,ช่อง8 : Thai Ch8,,14100000,Thailand,5800,81,1
507,CNN,http://youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,CNN,Music & DanceAnimation,14100000,United States,203600,3300,3300
508,F2Freestylers,http://youtube.com/channel/UCKvn9VBLAiLiYL4FFJHri6g,F2Freestylers - Ultimate Soccer Skills Channel,Sports,14100000,United Kingdom,425400,17000,513
509,MasterskayaNastroeny,http://youtube.com/channel/UCRW3VLiVep5Ud4Ovhj2eUyA,Мастерская Настроения,MoviesVideo games,14100000,Russia,323500,8100,150
510,Zach Choi ASMR,http://youtube.com/channel/UCI78AdiI6f7VKhqW1i4B3Rw,Zach Choi ASMR,Daily vlogs,14100000,United States,840600,34900,1300
511,Anasala I أنس و أصالة ,http://youtube.com/channel/UCqJNTGwKmgMCwfYDbnz514Q,Anasala I أنس و أصالة ,,14100000,Egypt,2600000,186400,9300
512,TheABSCBNNews,http://youtube.com/channel/UCE2606prvXQc_noEqKxVJXA,ABS-CBN News,News & Politics,13900000,Philippines,4300,44,4
513,Daily Dose Of Internet,http://youtube.com/channel/UCdC0An4ZPNr_YiFiYoVbwaw,Daily Dose Of Internet,Animals & Pets,13900000,United States,5900000,273800,8900
514,Unspeakable,http://youtube.com/channel/UCwIWAbIeu0xI0ReKWOcw3eg,Unspeakable,Video gamesHumor,13900000,United States,6500000,86400,6300
515,zeefilmimusic,http://youtube.com/channel/UCLWCv3y3FK1pqEbe_yzilsw,Zee Music Classic,Music & Dance,13900000,India,45300,599,23
516,Doc Tops,http://youtube.com/channel/UCAolsolgHiURrQBuZ4qe0lg,Doc Tops,Animation,13900000,Mexico,793500,36300,529
517,AM3NlC,http://youtube.com/channel/UCrGnb5RdHA9M6WGmBGYo4ZQ,AM3NlC,Food & Drinks,13900000,Brazil,210200,24600,362
518,NikkieTutorials,http://youtube.com/channel/UCzTKskwIc_-a0cGvCXA848Q,NikkieTutorials,Design/artBeauty,13900000,United States,347700,23000,1100
519,O Canal do Joãozinho - Little Angel Português,http://youtube.com/channel/UCAdpXDXkrrYQXFtAbJixRUg,O Canal do Joãozinho - Little Angel Português,Animation,13900000,,834100,4600,
520,bomberball,http://youtube.com/channel/UCjVb9mJZTeuPLN4hOjmvQnw,Bie The Ska,,13900000,Thailand,779400,23700,365
521,DM - Desi Melodies,http://youtube.com/channel/UC783dnzJqf2ghHp_pFLYbGA,DM - Desi Melodies,Music & Dance,13900000,India,316100,5700,136
522,UFC,http://youtube.com/channel/UCvgfXK4nTYKudb0rFR6noLA,UFC - Ultimate Fighting Championship,Sports,13900000,United States,106700,2400,347
523,A2 Motivation by {Arvind Arora},http://youtube.com/channel/UC6ERimtc5zFrn7x6Bk3HaHA,A2 Motivation by {Arvind Arora},,13900000,India,407000,47800,266
524,mispastelitosyoutub,http://youtube.com/channel/UCkjjH0hsvaeRIuwGlM9oSvg,Mis Pastelitos,Food & Drinks,13900000,Mexico,1200000,35000,2000000
525,Трум Трум,http://youtube.com/channel/UCq1JpGFxcZTbbOAz010U-og,Трум Трум,HumorToys,13900000,,468200,6000,114
526,Fun For Kids TV - Hindi Rhymes,http://youtube.com/channel/UCe3GjNY3Kqi8Xd6nT4JN_6w,Fun For Kids TV - Hindi Rhymes,,13800000,,239600,1400,
527,YOLO AVENTURAS,http://youtube.com/channel/UCOnIJiQuk1fDSp6p1GCZy3A,YOLO AVENTURAS,,13800000,Colombia,1500000,109800,1800
528,Kuplinov ► Play,http://youtube.com/channel/UCdKuE7a2QZeHPhDntXVZ91w,Kuplinov ► Play,Video games,13700000,Russia,1900000,147500,3700
529,ChallengeAcceptedInc,http://youtube.com/channel/UCzYfz8uibvnB7Yc1LjePi4g,Aphmau,AnimationVideo games,13700000,United States,3600000,76900,4400
530,dangmattsmith,http://youtube.com/channel/UCe56RtxwepRSyZ-b--SedOw,Dang Matt Smith,AnimationHumor,13700000,,219000,6500,430
531,WWWengie,http://youtube.com/channel/UCD9PZYV5heAevh9vrsYmt1g,Wengie,DIY & Life Hacks,13700000,United States,67000,3800,107
532,EdisonPts,http://youtube.com/channel/UCrpt82vHWIWZSHtNQxncPrg,EdisonPts,Video games,13700000,Russia,1800000,130400,6400
533,vetealaversha,http://youtube.com/channel/UCmyIMuo8zRYgLshDff0vLuw,Darkar Company Studios,AnimationVideo games,13700000,Mexico,0,,
534,Taarak Mehta Ka Ooltah Chashmah,http://youtube.com/channel/UCnSFZ-olBoLGLRUS_3RI2Aw,Taarak Mehta Ka Ooltah Chashmah,,13700000,India,491900,6500,98
535,MAIKI021,http://youtube.com/channel/UCXhDFaOPG2zhiYm9eXuMKkA,MAIKI021,MoviesAnimation,13700000,Brazil,19600,3300,96
536,Blippi Español,http://youtube.com/channel/UC4YImPQT-_0kCh5joATwyhw,Blippi Español,ToysEducation,13700000,,370600,1800,
537,LIV Crime,http://youtube.com/channel/UCzXpAx4v6rFLYXkJZ5nmSvQ,LIV Crime,Daily vlogs,13700000,India,316700,3100,84
538,NOBRU,http://youtube.com/channel/UCqWmLengIKFXRjuL1YyXNSg,NOBRU,Video gamesToys,13700000,Brazil,359700,40000,358
539,RosannaPansino,http://youtube.com/channel/UCjwmbv6NE4mOh8Z8VhPUx1Q,Rosanna Pansino,DIY & Life Hacks,13700000,United States,1500000,28900,447
540,TazerCraft,http://youtube.com/channel/UCjBO43ykxlSs3j7F7EXcBUQ,TazerCraft,MoviesAnimation,13700000,Brazil,451200,33300,710
541,Auron,http://youtube.com/channel/UCFR2oaNj02WnXkOgLH0iqOA,Auron,Video games,13700000,Mexico,1600000,107500,1800
542,MNCTVOfficial,http://youtube.com/channel/UC34xi8JB1AKSotPUKHywbaA,MNCTV OFFICIAL ,Music & Dance,13700000,Indonesia,5500,119,5
