Rank,username,Youtube_Url,Name,Category,Amount_Subscribers,Country,Avg_Views,Avg_Likes,Avg_Comments
79,Maria Clara & JP,http://youtube.com/channel/UCKe6w0exI94U-RzqAyoY1VA,Maria Clara & JP,,32800000,,3600000,34100,
80,Ryan's World,http://youtube.com/channel/UChGJGhZ9SOOHvBB0Y4DOO_w,Ryan's World,AnimationToys,32800000,,1100000,4400,
81,UltraHindi,http://youtube.com/channel/UCmL1WlDI8UkXDXCXcBQN9CA,Ultra Bollywood,,32800000,India,145100,1200,25
82,Geet MP3,http://youtube.com/channel/UClZF7OsrECe3t_ADrjZEh_Q,Geet MP3,Music & Dance,32700000,India,713300,26600,686
83,NoCopyrightSounds,http://youtube.com/channel/UC_aEa8K-EOJ3D6gOs7HcyNg,NoCopyrightSounds,Music & Dance,32500000,United States,372400,14600,1100
84,Mikecrack,http://youtube.com/channel/UCqJ5zFEED1hWs0KNQCQuYdQ,Mikecrack,MoviesAnimation,32300000,Mexico,3900000,297000,3000000
85,sonypalindia,http://youtube.com/channel/UCw7xjxzbMwgBSmbeYwqYRMg,Sony PAL,,32300000,India,9800,114,10
86,SSSniperWolf,http://youtube.com/channel/UCpB959t8iPrxQWj7G6n0ctQ,SSSniperWolf,Humor,32100000,United States,4400000,114400,6600
87,tseriesapnapunjab,http://youtube.com/channel/UCcvNYxWXR_5TjVK7cSCdW-g,T-Series Apna Punjab,Music & Dance,32100000,India,24800,906,52
88,KHANDESHI MOVIES,http://youtube.com/channel/UCP84QWij0alw4MvzqzyfOnw,KHANDESHI MOVIES,,31900000,India,2200000,20800,350
89,IndiaTV,http://youtube.com/channel/UCttspZesZIDEwwpVIgoZtWQ,IndiaTV,News & Politics,31700000,India,11500,191,23
90,GENIAL,http://youtube.com/channel/UCbrd1vu4_7qIE6IPV_dA-OA,GENIAL,Animation,31300000,Mexico,47900,1700,54
91,cancionesdelagranja,http://youtube.com/channel/UCwpcLKMwiuPg4aqImpGk6Ew,La Granja de Zenón,Music & DanceAnimation,31300000,,459200,2400,
92,ARY Digital HD,http://youtube.com/channel/UC4JCksJF76g_MdzPVBJoC3Q,ARY Digital HD,,31100000,Pakistan,7300,79,4
93,harpalgeo,http://youtube.com/channel/UCe9JSDmyqNgA_l2BzGHq1Ug,HAR PAL GEO,,31100000,Pakistan,3400,27,3
94,erosentertainment,http://youtube.com/channel/UCX52tYZiEh_mHoFja3Veciw,Eros Now Music,,30900000,India,17700,476,12
95,Luis Fonsi,http://youtube.com/channel/UCxoq-PAQeAdk_zyg8YS0JqA,Luis Fonsi,,30900000,United States,19200,1500,49
96,SMTOWN,http://youtube.com/channel/UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,Music & Dance,30700000,United States,312900,38400,930
97,juptube,http://youtube.com/channel/UCBAb_DK4GYZqZR9MFA7y2Xg,Galinha Pintadinha,Music & Dance,30700000,,20900000,71900,
98,MrBean,http://youtube.com/channel/UCkAGrHCLFmlK3H2kd6isipg,Mr Bean,,30600000,India,178300,3100,50
99,AllTrapNation,http://youtube.com/channel/UCa10nxShhzNrCE1o2ZOPztg,Trap Nation,Music & Dance,30500000,United States,89300,2400,100
100,Ricis Official,http://youtube.com/channel/UC4tS4Q_Cno5JVcIUXxQOOpA,Ricis Official,Music & DanceMovies,30300000,Indonesia,542600,31200,1000000
101,tseriesoldisgold,http://youtube.com/channel/UCRm96I5kmb_iGFofE5N691w,Bollywood Classics,Music & Dance,30300000,India,29600,534,22
102,rajshri,http://youtube.com/channel/UCEKWXRsfUHkan-D_ljU8Asw,Rajshri,,30100000,India,11800,110,7
103,AH,http://youtube.com/channel/UCaKLg1ELiX0zTJ6Je3c5esA,AH,Music & DanceMovies,29900000,Indonesia,736200,36600,2400
104,latenight,http://youtube.com/channel/UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,MoviesHumor,29700000,United States,154900,4100,187
105,DisneyMusicVEVO,http://youtube.com/channel/UCgwv23FVv3lqh567yagXfNg,DisneyMusicVEVO,Music & DanceMovies,29700000,United States,34100,661,30
106,SpinninRec,http://youtube.com/channel/UCpDJl2EmP7Oh90Vylx0dZtA,Spinnin' Records,Music & Dance,29700000,United States,56500,2100,70
107,rezendeevil,http://youtube.com/channel/UCbTVTephX30ZhQF5zwFppBg,rezendeevil,MoviesHumor,29700000,Brazil,304300,32300,604
108,qzMendShawqz,http://youtube.com/channel/UCAvCL8hyXjSUHKEGuUPr1BA,Shawn Mendes,,29500000,United States,0,,
109,SongsOfIndianCinema,http://youtube.com/channel/UC_A7K2dXFsTMAciGmnNxy-Q,Saregama Music,Music & Dance,29300000,India,30500,814,43
110,BabyBus - Kids Songs and Cartoons,http://youtube.com/channel/UCpYye8D5fFMUPf9nSfgd4bA,BabyBus - Kids Songs and Cartoons,AnimationToys,29100000,,880300,3500,
111,xoxxxoooxo,http://youtube.com/channel/UC0WP5P-ufpRfjbNrmOWwLBQ,The Weeknd,Music & Dance,28700000,United States,465000,42600,1900
112,jacksepticeye,http://youtube.com/channel/UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,Video games,28500000,United States,1800000,117400,4800
113,UltraRecords,http://youtube.com/channel/UC4rasfm9J-X4jNl9SvXp8xA,Ultra Music,Music & Dance,28500000,United States,21100,821,38
114,ImagineDragons,http://youtube.com/channel/UCT9zcQNlyht7fRlcjmflRSA,ImagineDragons,Music & Dance,28300000,United States,311800,19200,384
115,Jingle Toons,http://youtube.com/channel/UCK9F8nycURBsR0YlrBsu1Ag,Jingle Toons,,28200000,India,428100,3000,
116,WWRBhojpuri,http://youtube.com/channel/UCbomPUMyPHCgrqD5iYnzj1A,Worldwide Records Bhojpuri,Music & Dance,28200000,India,55100,1500,102
117,toyoraljanahtv,http://youtube.com/channel/UCozAuGJZ5MPoijz8IE_1Gtw,قناة طيور الجنة | toyoraljanahtv,Music & Dance,27900000,,95600,,
